id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
86827,Female,disloyal Customer,65,Business travel,Eco,484,2,2,3,4,1,,,,,,,,,,,,neutral or dissatisfied
59410,Male,Loyal Customer,37,Personal Travel,Eco,2447,4,3,4,2,1,,,,,,,,,,,,neutral or dissatisfied
77910,Male,Loyal Customer,68,Personal Travel,Eco,456,2,3,2,1,2,,,,,,,,,,,,neutral or dissatisfied
23868,Female,Loyal Customer,59,Personal Travel,Eco,522,2,4,2,1,4,,,,,,,,,,,,neutral or dissatisfied
27707,Male,Loyal Customer,53,Business travel,Business,1448,3,3,4,3,5,,,,,,,,,,,,satisfied
94541,Male,Loyal Customer,47,Business travel,Business,1540,0,4,0,2,2,,,,,,,,,,,,satisfied
66318,Female,Loyal Customer,50,Personal Travel,Eco,852,1,5,1,3,1,,,,,,,,,,,,neutral or dissatisfied
78709,Female,Loyal Customer,11,Personal Travel,Business,554,2,5,2,5,4,,,,,,,,,,,,neutral or dissatisfied
91715,Female,Loyal Customer,30,Business travel,Business,2633,2,4,4,4,2,,,,,,,,,,,,neutral or dissatisfied
10115,Male,disloyal Customer,21,Business travel,Eco,984,4,4,4,1,4,,,,,,,,,,,,satisfied
92910,Female,Loyal Customer,46,Business travel,Business,3286,0,4,0,2,5,,,,,,,,,,,,satisfied
101531,Male,Loyal Customer,36,Personal Travel,Eco,345,3,4,3,4,4,,,,,,,,,,,,neutral or dissatisfied
10527,Female,Loyal Customer,40,Business travel,Business,224,5,5,5,5,5,,,,,,,,,,,,satisfied
129535,Female,disloyal Customer,22,Business travel,Eco,1102,5,5,5,2,2,,,,,,,,,,,,satisfied
47056,Male,Loyal Customer,43,Business travel,Eco,639,3,2,2,2,3,,,,,,,,,,,,neutral or dissatisfied
19241,Male,Loyal Customer,22,Business travel,Business,3202,1,2,2,2,1,,,,,,,,,,,,neutral or dissatisfied
104230,Female,Loyal Customer,34,Personal Travel,Eco,680,2,4,2,4,3,,,,,,,,,,,,neutral or dissatisfied
58955,Male,Loyal Customer,53,Business travel,Business,1723,3,3,3,3,4,,,,,,,,,,,,satisfied
47952,Male,Loyal Customer,29,Personal Travel,Eco,550,1,4,1,5,2,,,,,,,,,,,,neutral or dissatisfied
24510,Male,Loyal Customer,20,Personal Travel,Eco,481,1,1,1,4,1,,,,,,,,,,,,neutral or dissatisfied
78247,Female,disloyal Customer,61,Business travel,Eco Plus,259,3,3,3,4,5,,,,,,,,,,,,neutral or dissatisfied
71951,Female,Loyal Customer,58,Business travel,Business,1440,4,4,4,4,3,,,,,,,,,,,,satisfied
39559,Male,disloyal Customer,40,Business travel,Eco,954,2,2,2,3,1,,,,,,,,,,,,neutral or dissatisfied
24240,Female,Loyal Customer,29,Business travel,Business,1602,2,2,2,2,5,,,,,,,,,,,,satisfied
115697,Male,disloyal Customer,26,Business travel,Eco,337,2,1,2,2,1,,,,,,,,,,,,neutral or dissatisfied
25269,Male,Loyal Customer,16,Business travel,Business,3149,3,5,5,5,3,,,,,,,,,,,,neutral or dissatisfied
27577,Male,Loyal Customer,65,Personal Travel,Eco,697,2,1,2,4,3,,,,,,,,,,,,neutral or dissatisfied
69637,Female,Loyal Customer,36,Business travel,Business,2120,3,3,3,3,3,,,,,,,,,,,,satisfied
51987,Male,Loyal Customer,57,Business travel,Eco Plus,347,4,5,3,5,4,,,,,,,,,,,,satisfied
105373,Male,Loyal Customer,52,Business travel,Business,2904,3,3,3,3,5,,,,,,,,,,,,satisfied
34832,Female,disloyal Customer,25,Business travel,Eco Plus,209,1,3,1,3,4,,,,,,,,,,,,neutral or dissatisfied
76183,Male,Loyal Customer,54,Business travel,Business,2422,1,1,1,1,4,,,,,,,,,,,,satisfied
33339,Female,disloyal Customer,26,Business travel,Eco,2349,1,2,2,1,4,,,,,,,,,,,,neutral or dissatisfied
118763,Male,Loyal Customer,60,Personal Travel,Eco,304,2,4,2,5,1,,,,,,,,,,,,neutral or dissatisfied
78377,Male,Loyal Customer,31,Business travel,Business,980,1,1,1,1,4,,,,,,,,,,,,satisfied
112814,Male,disloyal Customer,24,Business travel,Eco,1476,3,3,3,3,2,,,,,,,,,,,,neutral or dissatisfied
75842,Female,Loyal Customer,59,Business travel,Business,1440,1,1,4,1,4,,,,,,,,,,,,satisfied
102325,Female,disloyal Customer,65,Business travel,Eco,258,1,2,1,4,4,,,,,,,,,,,,neutral or dissatisfied
84659,Female,disloyal Customer,41,Business travel,Business,2182,1,1,1,4,5,,,,,,,,,,,,neutral or dissatisfied
106412,Female,Loyal Customer,9,Personal Travel,Eco,488,1,0,1,1,4,,,,,,,,,,,,neutral or dissatisfied
125390,Female,disloyal Customer,22,Business travel,Eco,761,3,3,3,4,3,,,,,,,,,,,,neutral or dissatisfied
36975,Female,Loyal Customer,28,Business travel,Eco,805,5,5,5,5,5,,,,,,,,,,,,satisfied
68250,Female,Loyal Customer,61,Personal Travel,Eco,631,4,5,4,5,3,,,,,,,,,,,,satisfied
60077,Female,Loyal Customer,39,Business travel,Business,3316,4,4,4,4,5,,,,,,,,,,,,satisfied
117301,Male,Loyal Customer,27,Business travel,Eco Plus,325,3,2,2,2,3,,,,,,,,,,,,neutral or dissatisfied
17439,Female,Loyal Customer,40,Personal Travel,Eco,351,2,5,2,3,2,,,,,,,,,,,,neutral or dissatisfied
82978,Female,Loyal Customer,58,Business travel,Business,3591,5,5,5,5,3,,,,,,,,,,,,satisfied
105013,Male,disloyal Customer,24,Business travel,Eco,255,2,0,2,1,5,,,,,,,,,,,,neutral or dissatisfied
88678,Female,Loyal Customer,50,Personal Travel,Eco,515,2,5,2,3,4,,,,,,,,,,,,neutral or dissatisfied
126451,Female,Loyal Customer,57,Business travel,Business,1972,2,2,2,2,5,,,,,,,,,,,,neutral or dissatisfied
127552,Female,Loyal Customer,56,Personal Travel,Eco,1009,2,5,2,1,2,,,,,,,,,,,,neutral or dissatisfied
28418,Female,Loyal Customer,27,Business travel,Business,1399,4,4,4,4,5,,,,,,,,,,,,satisfied
78391,Female,Loyal Customer,21,Personal Travel,Eco,980,3,4,3,5,5,,,,,,,,,,,,neutral or dissatisfied
104698,Male,Loyal Customer,35,Business travel,Eco,159,2,4,4,4,2,,,,,,,,,,,,neutral or dissatisfied
61979,Female,Loyal Customer,50,Personal Travel,Business,2475,2,4,2,3,2,,,,,,,,,,,,neutral or dissatisfied
102999,Female,Loyal Customer,25,Business travel,Business,786,2,2,2,2,5,,,,,,,,,,,,satisfied
109075,Male,Loyal Customer,44,Personal Travel,Eco,957,2,5,2,2,4,,,,,,,,,,,,neutral or dissatisfied
118314,Female,Loyal Customer,51,Business travel,Business,602,4,4,3,4,4,,,,,,,,,,,,satisfied
100707,Male,Loyal Customer,13,Business travel,Eco Plus,677,3,5,5,5,3,,,,,,,,,,,,neutral or dissatisfied
58440,Male,Loyal Customer,62,Personal Travel,Eco,528,2,4,2,1,4,,,,,,,,,,,,neutral or dissatisfied
77862,Female,Loyal Customer,58,Personal Travel,Eco Plus,689,3,5,3,3,5,,,,,,,,,,,,neutral or dissatisfied
99764,Female,Loyal Customer,45,Personal Travel,Eco,255,4,4,4,1,4,,,,,,,,,,,,satisfied
1398,Female,Loyal Customer,45,Personal Travel,Eco Plus,270,4,3,2,4,2,,,,,,,,,,,,neutral or dissatisfied
80574,Male,Loyal Customer,50,Business travel,Business,1747,1,5,5,5,4,,,,,,,,,,,,neutral or dissatisfied
42076,Male,Loyal Customer,56,Business travel,Eco Plus,116,5,3,3,3,5,,,,,,,,,,,,satisfied
18619,Female,Loyal Customer,68,Personal Travel,Eco,201,4,4,4,3,2,,,,,,,,,,,,satisfied
98387,Male,Loyal Customer,44,Business travel,Business,2649,3,5,5,5,2,,,,,,,,,,,,neutral or dissatisfied
118690,Female,Loyal Customer,40,Personal Travel,Eco,370,2,1,2,3,1,,,,,,,,,,,,neutral or dissatisfied
107073,Female,Loyal Customer,70,Personal Travel,Eco,395,3,5,3,1,3,,,,,,,,,,,,neutral or dissatisfied
23797,Female,Loyal Customer,42,Business travel,Eco,374,1,3,3,3,5,,,,,,,,,,,,neutral or dissatisfied
73176,Female,Loyal Customer,41,Business travel,Business,3768,3,3,3,3,4,,,,,,,,,,,,satisfied
68703,Male,Loyal Customer,34,Personal Travel,Eco,237,1,3,0,2,1,,,,,,,,,,,,neutral or dissatisfied
75958,Male,Loyal Customer,39,Business travel,Business,228,2,2,3,2,5,,,,,,,,,,,,satisfied
118636,Female,Loyal Customer,52,Business travel,Business,368,5,5,5,5,5,,,,,,,,,,,,satisfied
10258,Male,Loyal Customer,58,Personal Travel,Business,316,2,5,1,3,1,,,,,,,,,,,,neutral or dissatisfied
14455,Female,disloyal Customer,40,Business travel,Business,674,3,4,4,3,2,,,,,,,,,,,,neutral or dissatisfied
92744,Male,Loyal Customer,35,Personal Travel,Eco,1298,5,5,5,3,2,,,,,,,,,,,,satisfied
112705,Female,disloyal Customer,22,Business travel,Eco,671,3,3,3,4,3,,,,,,,,,,,,neutral or dissatisfied
82402,Female,Loyal Customer,20,Personal Travel,Eco,501,4,4,4,3,5,,,,,,,,,,,,satisfied
65223,Female,Loyal Customer,57,Business travel,Eco Plus,224,3,4,4,4,5,,,,,,,,,,,,neutral or dissatisfied
61287,Male,Loyal Customer,24,Personal Travel,Eco,853,2,5,2,3,3,,,,,,,,,,,,neutral or dissatisfied
103896,Female,Loyal Customer,39,Business travel,Business,882,1,1,1,1,2,,,,,,,,,,,,satisfied
33208,Male,Loyal Customer,39,Business travel,Eco Plus,216,4,5,5,5,4,,,,,,,,,,,,satisfied
84462,Female,Loyal Customer,56,Personal Travel,Eco,290,2,4,2,3,3,,,,,,,,,,,,neutral or dissatisfied
123097,Female,disloyal Customer,62,Business travel,Eco,600,1,1,1,4,1,,,,,,,,,,,,neutral or dissatisfied
129580,Male,Loyal Customer,31,Business travel,Business,2691,4,4,4,4,5,,,,,,,,,,,,satisfied
107601,Male,Loyal Customer,58,Business travel,Business,423,4,4,4,4,2,,,,,,,,,,,,satisfied
75524,Male,Loyal Customer,56,Business travel,Business,3809,3,3,3,3,4,,,,,,,,,,,,satisfied
4577,Male,Loyal Customer,47,Business travel,Business,1514,5,5,5,5,5,,,,,,,,,,,,satisfied
47707,Male,Loyal Customer,49,Business travel,Eco Plus,1464,5,5,2,2,5,,,,,,,,,,,,satisfied
9467,Female,Loyal Customer,63,Personal Travel,Eco,288,2,4,2,3,4,,,,,,,,,,,,neutral or dissatisfied
126153,Female,Loyal Customer,52,Business travel,Business,2609,2,2,2,2,2,,,,,,,,,,,,satisfied
72298,Male,Loyal Customer,55,Personal Travel,Eco,919,2,5,2,3,3,,,,,,,,,,,,neutral or dissatisfied
32050,Male,disloyal Customer,26,Business travel,Business,216,5,0,5,3,4,,,,,,,,,,,,satisfied
86678,Male,Loyal Customer,31,Business travel,Eco Plus,952,2,1,1,1,2,,,,,,,,,,,,neutral or dissatisfied
107379,Female,Loyal Customer,66,Personal Travel,Business,468,2,5,5,2,4,,,,,,,,,,,,neutral or dissatisfied
8081,Female,Loyal Customer,47,Business travel,Business,294,2,2,2,2,4,,,,,,,,,,,,satisfied
88813,Female,disloyal Customer,23,Business travel,Eco,581,3,2,3,3,1,,,,,,,,,,,,neutral or dissatisfied
20004,Female,Loyal Customer,68,Business travel,Eco,589,4,5,3,5,1,,,,,,,,,,,,satisfied
60631,Male,Loyal Customer,32,Business travel,Business,1620,1,1,1,1,4,,,,,,,,,,,,satisfied
93577,Female,Loyal Customer,57,Business travel,Business,2183,2,2,4,2,2,,,,,,,,,,,,satisfied
123953,Male,Loyal Customer,62,Personal Travel,Eco Plus,573,1,4,1,3,1,,,,,,,,,,,,neutral or dissatisfied
55671,Female,disloyal Customer,27,Business travel,Business,895,3,3,3,4,1,,,,,,,,,,,,neutral or dissatisfied
26697,Female,Loyal Customer,58,Personal Travel,Eco,404,2,4,2,5,3,,,,,,,,,,,,neutral or dissatisfied
62053,Male,Loyal Customer,8,Personal Travel,Eco,2475,2,1,3,3,1,,,,,,,,,,,,neutral or dissatisfied
7520,Female,Loyal Customer,38,Business travel,Business,3131,3,3,3,3,4,,,,,,,,,,,,satisfied
102922,Female,Loyal Customer,39,Business travel,Business,317,5,5,5,5,2,,,,,,,,,,,,satisfied
63699,Male,Loyal Customer,18,Personal Travel,Eco,853,3,1,3,2,1,,,,,,,,,,,,neutral or dissatisfied
115168,Male,disloyal Customer,20,Business travel,Business,373,0,4,0,4,4,,,,,,,,,,,,satisfied
128285,Male,Loyal Customer,60,Business travel,Business,1668,1,1,1,1,2,,,,,,,,,,,,satisfied
115345,Male,Loyal Customer,56,Business travel,Business,325,0,0,0,1,5,,,,,,,,,,,,satisfied
82387,Female,Loyal Customer,49,Business travel,Business,1704,1,1,1,1,4,,,,,,,,,,,,satisfied
73055,Male,Loyal Customer,30,Business travel,Eco Plus,1089,3,1,1,1,3,,,,,,,,,,,,neutral or dissatisfied
83429,Female,Loyal Customer,7,Personal Travel,Eco,632,2,5,2,3,4,,,,,,,,,,,,neutral or dissatisfied
79929,Male,Loyal Customer,36,Business travel,Eco,1096,2,5,5,5,2,,,,,,,,,,,,neutral or dissatisfied
103146,Female,Loyal Customer,24,Personal Travel,Eco Plus,460,2,5,2,1,2,,,,,,,,,,,,neutral or dissatisfied
104861,Female,Loyal Customer,42,Business travel,Business,327,4,5,5,5,1,,,,,,,,,,,,neutral or dissatisfied
59048,Female,Loyal Customer,10,Business travel,Business,1723,3,3,5,3,3,,,,,,,,,,,,neutral or dissatisfied
116128,Male,Loyal Customer,20,Personal Travel,Eco,362,2,5,2,5,2,,,,,,,,,,,,neutral or dissatisfied
21250,Male,Loyal Customer,78,Business travel,Eco Plus,317,3,4,3,4,3,,,,,,,,,,,,neutral or dissatisfied
118825,Female,disloyal Customer,45,Business travel,Business,325,2,2,2,1,5,,,,,,,,,,,,neutral or dissatisfied
42065,Male,Loyal Customer,30,Personal Travel,Eco,116,4,2,0,2,2,,,,,,,,,,,,satisfied
7104,Female,Loyal Customer,21,Personal Travel,Eco,157,0,4,0,4,5,,,,,,,,,,,,satisfied
38784,Male,disloyal Customer,25,Business travel,Business,354,4,0,4,2,5,,,,,,,,,,,,satisfied
124095,Male,Loyal Customer,38,Business travel,Eco,529,4,1,1,1,4,,,,,,,,,,,,neutral or dissatisfied
122267,Male,Loyal Customer,20,Personal Travel,Eco,573,3,4,3,4,4,,,,,,,,,,,,neutral or dissatisfied
114913,Female,Loyal Customer,58,Business travel,Business,1834,1,1,1,1,3,,,,,,,,,,,,satisfied
83985,Male,Loyal Customer,54,Business travel,Business,321,3,4,4,4,5,,,,,,,,,,,,neutral or dissatisfied
32901,Female,Loyal Customer,45,Personal Travel,Eco,163,3,2,0,4,3,,,,,,,,,,,,neutral or dissatisfied
1397,Female,Loyal Customer,63,Personal Travel,Eco Plus,312,3,4,3,3,3,,,,,,,,,,,,neutral or dissatisfied
15601,Female,disloyal Customer,54,Business travel,Eco,229,2,0,2,4,2,,,,,,,,,,,,neutral or dissatisfied
79483,Female,Loyal Customer,24,Business travel,Business,762,4,4,1,4,5,,,,,,,,,,,,satisfied
58131,Female,Loyal Customer,56,Business travel,Eco Plus,612,3,2,1,1,5,,,,,,,,,,,,neutral or dissatisfied
114878,Female,Loyal Customer,52,Business travel,Business,1773,3,3,3,3,4,,,,,,,,,,,,satisfied
19152,Male,Loyal Customer,42,Business travel,Business,321,1,2,2,2,4,,,,,,,,,,,,neutral or dissatisfied
99380,Female,Loyal Customer,41,Business travel,Business,2043,2,2,4,2,4,,,,,,,,,,,,satisfied
1890,Male,Loyal Customer,29,Business travel,Business,295,1,1,1,1,4,,,,,,,,,,,,satisfied
50563,Female,Loyal Customer,45,Personal Travel,Eco,209,3,1,3,3,3,,,,,,,,,,,,neutral or dissatisfied
92001,Male,Loyal Customer,75,Business travel,Eco Plus,236,2,2,2,2,3,,,,,,,,,,,,neutral or dissatisfied
57632,Male,Loyal Customer,60,Business travel,Business,200,5,5,5,5,3,,,,,,,,,,,,satisfied
114102,Male,Loyal Customer,29,Personal Travel,Eco Plus,1947,1,5,1,2,1,,,,,,,,,,,,neutral or dissatisfied
41232,Male,Loyal Customer,36,Business travel,Business,2260,3,4,4,4,2,,,,,,,,,,,,neutral or dissatisfied
92770,Male,Loyal Customer,59,Business travel,Business,1671,2,2,2,2,5,,,,,,,,,,,,satisfied
54180,Male,disloyal Customer,26,Business travel,Eco,1000,1,1,1,3,1,,,,,,,,,,,,neutral or dissatisfied
25445,Male,disloyal Customer,29,Business travel,Eco,669,3,2,2,4,5,,,,,,,,,,,,neutral or dissatisfied
68609,Female,Loyal Customer,58,Business travel,Business,3807,1,1,1,1,5,,,,,,,,,,,,satisfied
51592,Female,disloyal Customer,38,Business travel,Eco,370,1,3,1,4,1,,,,,,,,,,,,neutral or dissatisfied
115737,Male,disloyal Customer,36,Business travel,Eco,325,4,2,4,4,1,,,,,,,,,,,,neutral or dissatisfied
112636,Female,disloyal Customer,29,Business travel,Eco Plus,602,4,4,4,4,4,,,,,,,,,,,,neutral or dissatisfied
108351,Female,Loyal Customer,57,Business travel,Eco,1750,4,1,1,1,5,,,,,,,,,,,,neutral or dissatisfied
41782,Male,Loyal Customer,49,Personal Travel,Eco,508,3,4,3,5,5,,,,,,,,,,,,neutral or dissatisfied
17088,Female,Loyal Customer,60,Business travel,Business,466,1,1,1,1,2,,,,,,,,,,,,satisfied
126066,Male,Loyal Customer,53,Business travel,Business,1659,5,5,5,5,3,,,,,,,,,,,,satisfied
29955,Female,disloyal Customer,17,Business travel,Eco,95,4,3,4,4,2,,,,,,,,,,,,neutral or dissatisfied
124255,Male,Loyal Customer,25,Business travel,Eco Plus,1916,2,1,1,1,2,,,,,,,,,,,,neutral or dissatisfied
106646,Male,Loyal Customer,25,Business travel,Business,2558,4,4,4,4,4,,,,,,,,,,,,satisfied
63584,Male,disloyal Customer,23,Business travel,Eco,2133,3,3,3,3,1,,,,,,,,,,,,neutral or dissatisfied
84842,Male,disloyal Customer,29,Business travel,Eco,516,3,1,3,4,1,,,,,,,,,,,,neutral or dissatisfied
121903,Male,Loyal Customer,29,Personal Travel,Eco,366,3,4,5,2,1,,,,,,,,,,,,neutral or dissatisfied
123039,Male,Loyal Customer,53,Business travel,Business,2620,1,1,1,1,1,,,,,,,,,,,,neutral or dissatisfied
110862,Male,disloyal Customer,35,Business travel,Business,406,2,2,2,3,4,,,,,,,,,,,,neutral or dissatisfied
82955,Male,Loyal Customer,59,Business travel,Business,684,4,4,4,4,2,,,,,,,,,,,,satisfied
60551,Female,Loyal Customer,39,Business travel,Business,3537,3,3,3,3,3,,,,,,,,,,,,satisfied
15773,Female,Loyal Customer,62,Business travel,Business,198,4,5,5,5,1,,,,,,,,,,,,neutral or dissatisfied
123385,Female,Loyal Customer,50,Business travel,Business,1337,2,2,2,2,3,,,,,,,,,,,,satisfied
3773,Female,Loyal Customer,45,Business travel,Business,2815,5,5,5,5,4,,,,,,,,,,,,satisfied
60500,Male,Loyal Customer,63,Business travel,Eco,241,1,5,5,5,1,,,,,,,,,,,,neutral or dissatisfied
61515,Male,Loyal Customer,8,Personal Travel,Eco,2253,2,1,2,4,2,,,,,,,,,,,,neutral or dissatisfied
83704,Female,Loyal Customer,52,Personal Travel,Eco,577,3,1,2,2,5,,,,,,,,,,,,neutral or dissatisfied
57322,Male,Loyal Customer,42,Business travel,Business,3490,1,1,3,1,5,,,,,,,,,,,,satisfied
71966,Female,Loyal Customer,53,Business travel,Business,1437,2,2,2,2,5,,,,,,,,,,,,satisfied
114213,Male,Loyal Customer,25,Business travel,Eco,819,1,3,3,3,1,,,,,,,,,,,,neutral or dissatisfied
68917,Female,Loyal Customer,15,Personal Travel,Eco,936,2,3,2,1,3,,,,,,,,,,,,neutral or dissatisfied
36900,Male,disloyal Customer,27,Business travel,Eco,2072,3,3,3,3,5,,,,,,,,,,,,neutral or dissatisfied
56384,Male,Loyal Customer,40,Personal Travel,Eco Plus,200,5,2,0,4,1,,,,,,,,,,,,satisfied
94640,Female,Loyal Customer,49,Business travel,Eco,273,1,2,2,2,4,,,,,,,,,,,,neutral or dissatisfied
37678,Male,Loyal Customer,64,Personal Travel,Eco,1028,4,4,4,3,2,,,,,,,,,,,,neutral or dissatisfied
6438,Male,Loyal Customer,67,Personal Travel,Eco,315,3,4,3,4,5,,,,,,,,,,,,neutral or dissatisfied
8814,Female,Loyal Customer,36,Personal Travel,Eco,522,2,4,2,1,2,,,,,,,,,,,,neutral or dissatisfied
93466,Male,Loyal Customer,39,Business travel,Business,3626,3,2,3,3,3,,,,,,,,,,,,satisfied
50321,Male,Loyal Customer,50,Business travel,Business,77,3,3,5,3,1,,,,,,,,,,,,neutral or dissatisfied
69482,Female,Loyal Customer,38,Business travel,Business,3436,1,1,1,1,2,,,,,,,,,,,,satisfied
62761,Male,disloyal Customer,39,Business travel,Eco,2367,1,1,1,3,2,,,,,,,,,,,,neutral or dissatisfied
60483,Female,disloyal Customer,40,Business travel,Business,794,1,1,1,2,3,,,,,,,,,,,,neutral or dissatisfied
86828,Male,disloyal Customer,24,Business travel,Eco,692,3,3,3,4,3,,,,,,,,,,,,neutral or dissatisfied
42352,Female,Loyal Customer,66,Personal Travel,Eco,550,2,4,2,2,5,,,,,,,,,,,,neutral or dissatisfied
46884,Male,Loyal Customer,14,Business travel,Business,845,4,1,1,1,4,,,,,,,,,,,,neutral or dissatisfied
57167,Female,Loyal Customer,41,Business travel,Business,2227,1,1,1,1,2,,,,,,,,,,,,satisfied
38567,Female,Loyal Customer,35,Personal Travel,Eco,2475,3,4,4,1,5,,,,,,,,,,,,neutral or dissatisfied
84690,Male,Loyal Customer,9,Personal Travel,Eco,2182,3,2,3,3,4,,,,,,,,,,,,neutral or dissatisfied
51554,Female,disloyal Customer,27,Business travel,Eco,355,1,1,1,3,1,,,,,,,,,,,,neutral or dissatisfied
26109,Male,Loyal Customer,33,Business travel,Business,406,2,2,2,2,2,,,,,,,,,,,,satisfied
113966,Male,Loyal Customer,27,Business travel,Business,1790,4,4,4,4,4,,,,,,,,,,,,neutral or dissatisfied
104302,Male,Loyal Customer,9,Personal Travel,Eco,382,3,5,3,1,3,,,,,,,,,,,,neutral or dissatisfied
37208,Male,disloyal Customer,25,Business travel,Eco,680,5,5,5,2,3,,,,,,,,,,,,satisfied
49209,Male,Loyal Customer,43,Business travel,Business,3267,3,3,4,3,2,,,,,,,,,,,,satisfied
1894,Female,Loyal Customer,41,Personal Travel,Business,351,2,5,2,2,4,,,,,,,,,,,,neutral or dissatisfied
82798,Male,Loyal Customer,40,Business travel,Business,235,3,3,3,3,5,,,,,,,,,,,,satisfied
34407,Female,Loyal Customer,14,Personal Travel,Eco,612,3,4,3,2,4,,,,,,,,,,,,neutral or dissatisfied
88964,Male,disloyal Customer,25,Business travel,Eco,1199,3,2,2,5,5,,,,,,,,,,,,satisfied
6516,Female,Loyal Customer,30,Business travel,Business,2875,2,1,1,1,3,,,,,,,,,,,,neutral or dissatisfied
117859,Male,Loyal Customer,55,Business travel,Business,255,3,3,3,3,2,,,,,,,,,,,,satisfied
39808,Female,Loyal Customer,55,Business travel,Business,3631,2,2,2,2,1,,,,,,,,,,,,satisfied
62708,Female,Loyal Customer,30,Business travel,Business,2399,4,4,4,4,4,,,,,,,,,,,,satisfied
64613,Male,disloyal Customer,48,Business travel,Eco,247,4,2,4,3,1,,,,,,,,,,,,neutral or dissatisfied
